Word, Interview, Public, Total
 'so', 18, 70, 88
 'really', 16, 52, 68
 'very', 14, 19, 33
Overall, 189

Words by Cast Member
Moira
 , so, 17
 , really, 2
 , Interview, 10
 , Public, 9
Total, 19

Cely
 , so, 25
 , really, 5
 , very, 1
 , Interview, 5
 , Public, 26
Total, 31

Justine
 , so, 9
 , really, 8
 , very, 2
 , Interview, 3
 , Public, 16
Total, 19

Kaitlynn
 , so, 3
 , very, 6
 , really, 4
 , Interview, 4
 , Public, 9
Total, 13

Mackenzie
 , really, 10
 , so, 6
 , very, 6
 , Interview, 1
 , Public, 21
Total, 22

Arielle
 , so, 3
 , very, 1
 , really, 2
 , Interview, 0
 , Public, 6
Total, 6

Matthew
 , very, 2
 , Interview, 1
 , Public, 1
Total, 2

James
 , very, 1
 , really, 3
 , so, 2
 , Interview, 1
 , Public, 5
Total, 6

Connor
 , very, 4
 , really, 5
 , so, 2
 , Interview, 4
 , Public, 7
Total, 11

Carrington
 , so, 12
 , really, 3
 , very, 3
 , Interview, 3
 , Public, 15
Total, 18

Jeremiah
 , so, 1
 , really, 2
 , Interview, 1
 , Public, 2
Total, 3

Johnny
 , really, 6
 , very, 1
 , so, 3
 , Interview, 0
 , Public, 10
Total, 10

Tre
 , so, 1
 , really, 4
 , very, 3
 , Interview, 3
 , Public, 5
Total, 8

Rachel
 , very, 1
 , really, 10
 , so, 2
 , Interview, 10
 , Public, 3
Total, 13

Kierstan
 , really, 4
 , so, 1
 , very, 2
 , Interview, 2
 , Public, 5
Total, 7

Multiple Women
 , so, 1
 , Interview, 0
 , Public, 1
Total, 1

Totals by Gender
Men
 , Interview, 13
 , Public, 46
 , Total, 59
Women
 , Interview, 35
 , Public, 95
 , Total, 130
Total
 , Total, 189
 , Interview, 48
 , Public, 141
